osmid1;osmid2
100228;99766
100229;99765
10023;99764
100230;99763
100231;99762
100232;99761
100233;99760
100234;9976
100235;99759
100236;99758
100237;99757
100238;99756
100239;99755
10024;99754
100240;99753
100241;99752
100242;99751
100243;99750
100244;9975
100245;99749
100246;99748
100247;99747
100248;99746
100249;99745
10025;99744
100250;99743
100251;99742
100252;99741
100253;99740
100254;9974
100255;99739
100256;99738
100257;99737
100258;99736
100259;99735
10026;99734
100260;99733
100261;99732
100262;99731
100263;99730
100264;9973
100265;99729
100266;99728
100267;99727
100268;99726
100269;99725
10027;99724
100270;99723
100271;99722
100272;99721
100273;99720
100274;9972
100275;99719
100276;99718
100277;99717
100278;99716
100279;99715
10028;99714
100280;99713
100281;99712
100282;99711
100283;99710
100284;9971
100285;99709
100286;99708
100287;99707
100288;99706
100289;99705
10029;99704
100290;99703
100291;99702
100292;99701
100293;99700
100294;9970
100295;997
100296;99699
100297;99698
100298;99697
100299;99696
1003;99695
10030;99694
100300;99693
100301;99692
100302;99691
100303;99690
100304;9969
100305;99689
100306;99688
100307;99687
100308;99686
100309;99685
10031;99684
100310;99683
100311;99682
100312;99681
100313;99680
100314;9968
100315;99679
100316;99678
100317;99677
100318;99676
100319;99675
10032;99674
100320;99673
100321;99672
100322;99671
100323;99670
100324;9967
100325;99669
100326;99668
100327;99667
100328;99666
100329;99665
10033;99664
100330;99663
100331;99662
100332;99661
100333;99660
100334;9966
100335;99659
100336;99658
100337;99657
100338;99656
100339;99655
10034;99654
100340;99653
100341;99652
100342;99651
100343;99650
100344;9965
100345;99649
100346;99648
100347;99647
100348;99646
100349;99645
10035;99644
100350;99643
100351;99642
100352;99641
100353;99640
100354;9964
100355;99639
100356;99638
100357;99637
100358;99636
100359;99635
10036;99634
100360;99633
100361;99632
100362;99631
100363;99630
100364;9963
100365;99629
100366;99628
100367;99627
100368;99626
100369;99625
10037;99624
100370;99623
100371;99622
100372;99621
100373;99620
100374;9962
100375;99619
100376;99618
100377;99617
100378;99616
100379;99615
10038;99614
100380;99613
100381;99612
100382;99611
100383;99610
100384;9961
100385;99609
100386;99608
100387;99607
100388;99606
100389;99605
10039;99604
100390;99603
100391;99602
100392;99601
100393;99600
100394;9960
100395;996
100396;99599
100397;99598
100398;99597
100399;99596
1004;99595
10040;99594
100400;99593
100401;99592
100402;99591
100403;99590
100404;9959
100405;99589
100406;99588
100407;99587
100408;99585
100409;99584
10041;99583
100410;99582
100411;99581
100412;99580
100413;9958
100414;99579
100415;99577
100416;99576
100417;99575
100418;99574
100419;99573
10042;99572
100420;99571
100421;99570
100422;9957
100423;99569
100424;99568
100425;99567
100426;99566
100427;99565
100428;99564
100429;99563
10043;99562
100430;99561
100431;99560
100432;9956
100433;99559
100434;99558
100435;99557
100436;99556
100437;99555
100438;99554
100439;99553
10044;99552
100440;99551
100441;99550
100442;9955
100443;99549
100444;99548
100445;99547
100446;99546
100447;99545
100448;99544
100449;99543
10045;99542
100450;99541
100451;99540
100452;9954
100453;99539
100454;99538
100455;99537
100456;99536
100457;99535
100458;99534
100459;99533
10046;99532
100460;99531
100461;99530
100462;9953
100463;99529
100464;99528
100465;99527
100466;99526
100467;99525
100468;99524
100469;99523
10047;99522
100470;99521
100471;99520
100472;9952
100473;99519
100474;99518
100475;99517
100476;99516
100477;99515
100478;99514
100479;99513
10048;99512
100480;99511
100481;99510
100482;9951
100483;99509
100484;99508
100485;99507
100486;99506
100487;99505
100488;99504
100489;99503
10049;99502
100490;99501
100491;99500
100492;9950
100493;995
100494;99499
100495;99498
100496;99497
100497;99496
100498;99495
100499;99494
1005;99493
10050;99492
100500;99491
100501;99490
100502;9949
100503;99489
100504;99488
100505;99487
100506;99486
100507;99485
100508;99484
100509;99483
10051;99482
100510;99481
100511;99480
100512;9948
100513;99479
100514;99478
100515;99477
100516;99476
100517;99475
100518;99474
100519;99473
10052;99472
100520;99471
100521;99470
100522;9947
100523;99469
100524;99468
100525;99467
100526;99466
100527;99465
100528;99464
100529;99463
10053;99462
100530;99461
100531;99460
100532;9946
100533;99459
100534;99458
100535;99457
100536;99456
100537;99455
100538;99454
100539;99453
10054;99452
100540;99451
100541;99450
100542;9945
100543;99449
100544;99448
100545;99447
100546;99446
100547;99445
100548;99444
100549;99443
10055;99442
100550;99441
100551;99440
100552;9944
100553;99439
100554;99438
100555;99437
100556;99436
100557;99435
100558;99434
100559;99433
10056;99432
100560;99431
100561;99430
100562;9943
100563;99429
100564;99428
100565;99427
100566;99426
100567;99425
100568;99424
100569;99423
10057;99422
100570;99421
100571;99420
100572;9942
100573;99419
100574;99418
100575;99417
100576;99416
100577;99415
100578;99414
100579;99413
10058;99412
100580;99411
100581;99410
100582;9941
100583;99409
100584;99408
100585;99407
100586;99406
100587;99405
100588;99404
100589;99403
10059;99402
100590;99401
100591;99400
100592;9940
100593;994
100594;99399
100595;99398
100596;99397
100597;99396
100598;99395
100599;99394
1006;99393
10060;99392
100600;99391
100601;99390
100602;9939
100603;99389
100604;99388
100605;99387
100606;99386
100607;99385
100608;99384
100609;99383
10061;99382
100610;99381
100611;99380
100612;9938
100613;99379
100614;99378
100615;99377
100616;99376
100617;99375
100618;99374
100619;99373
10062;99372
100620;99371
100621;99370
100622;9937
100623;99369
100624;99368
100625;99367
100626;99366
100627;99365
100628;99364
100629;99363
10063;99361
100630;99360
100631;9936
100632;99359
100633;99358
100634;99357
100635;99356
100637;99355
100638;99354
100639;99353
10064;99352
100640;99351
100641;99350
100642;9935
100643;99349
100644;99348
100645;99347
100646;99346
100647;99345
100648;99344
100649;99343
10065;99342
100650;99341
100651;99340
100652;9934
100653;99339
100654;99338
100655;99337
100656;99336
100657;99335
100658;99334
100659;99333
10066;99332
100660;99331
100661;99330
100662;9933
100663;99329
100664;99328
100665;99327
100666;99326
100667;99325
100668;99324
100669;99323
10067;99322
100670;99321
100671;99320
100672;9932
100673;99319
100674;99318
100675;99317
100676;99316
100677;99315
100678;99314
100679;99313
10068;99312
100680;99311
100681;99310
100682;9931
100683;99309
100684;99308
100685;99307
100686;99306
100687;99305
100688;99304
100689;99303
10069;99302
100690;99301
100691;99300
100692;9930
100693;993
100694;99299
100695;99298
100696;99297
100697;99296
100698;99295
100699;99294
1007;99293
10070;99292
100700;99291
100701;99290
100702;9929
100703;99289
100704;99288
100705;99287
100706;99286
100707;99285
100708;99284
100709;99283
10071;99282
100710;99281
100711;99280
100712;9928
100713;99279
100714;99278
100715;99277
100716;99276
100717;99275
100718;99274
100719;99273
10072;99272
100720;99271
100721;99270
100722;9927
100723;99269
100724;99268
100725;99267
100726;99266
100727;99265
100728;99264
100729;99263
10073;99262
100730;99261
100731;99260
100732;9926
100733;99259
100734;99258
100735;99257
100736;99256
100737;99255
100738;99254
100739;99253
10074;99252
100740;99251
100741;99250
100742;9925
100743;99249
100744;99248
100745;99247
100746;99246
100747;99245
100748;99244
100749;99243
10075;99242
100750;99241
100751;99240
100752;9924
100753;99239
100754;99238
100755;99237
100756;99236
100757;99235
100758;99234
100759;99233
10076;99232
100760;99231
100761;99230
100762;9923
100763;99229
100764;99228
100765;99227
100766;99226
100767;99225
100768;99224
100769;99223
10077;99222
100770;99221
100771;99220
100772;9922
100773;99219
100774;99218
100775;99217
100776;99216
100777;99215
100778;99214
100779;99213
10078;99212
100780;99211
100781;99210
100782;9921
100783;99209
100784;99208
100785;99207
100786;99206
100787;99205
100788;99204
100789;99203
10079;99202
100790;99201
100791;99200
100792;9920
100793;992
100794;99199
100795;99198
100796;99197
100797;99196
100798;99195
100799;99194
1008;99193
10080;99192
100800;99191
100801;99190
100802;9919
100803;99189
100804;99188
100805;99187
100806;99186
100807;99185
100808;99184
100809;99183
10081;99182
100810;99181
100811;99180
100812;9918
100813;99179
100814;99178
100815;99177
100816;99176
100817;99175
100818;99174
100819;99173
10082;99172
100820;99171
100821;99170
100822;9917
100823;99169
100824;99168
100825;99167
100826;99166
100827;99165
100828;99164
10083;99163
100830;99162
100831;99161
100832;99160
100833;9916
100834;99159
100835;99158
100836;99157
100837;99156
100838;99155
100839;99154
10084;99153
100840;99152
100841;99151
100842;99150
100843;9915
100844;99149
100845;99148
100846;99147
100847;99146
100848;99145
100849;99144
10085;99143
100850;99142
100851;99141
100852;99140
100853;9914
100854;99139
100855;99138
100856;99137
100857;99136
100858;99135
100859;99134
10086;99133
100860;99132
100861;99131
100862;99130
100863;9913
100864;99129
100865;99128
100866;99127
100867;99126
100868;99125
100869;99124
10087;99123
100870;99122
100871;99121
100872;99120
100873;9912
100874;99119
100875;99118
100876;99117
100877;99116
100878;99115
100879;99114
10088;99113
100880;99112
100881;99111
100882;99110
100883;9911
100884;99109
100885;99108
100886;99107
100887;99106
100888;99105
100889;99104
10089;99103
100890;99102
100891;99101
100892;99100
100893;9910
100894;991
100895;99099
100896;99098
100897;99097
100898;99096
100899;99095
1009;99094
10090;99093
100900;99092
100901;99091
100902;99090
100903;9909
100904;99089
100905;99088
100906;99087
100907;99086
100908;99085
100909;99084
10091;99083
100910;99082
100911;99081
100912;99080
100913;9908
100914;99079
100915;99078
100916;99077
100917;99076
100918;99075
100919;99074
10092;99073
100920;99072
100921;99071
100922;99070
100923;9907
100924;99069
100925;99068
100926;99067
100927;99066
100928;99065
100929;99064
10093;99063
100930;99062
100931;99061
100932;99060
100933;9906
100934;99059
100935;99058
100936;99057
100937;99056
100938;99055
100939;99054
10094;99053
100940;99052
100941;99051
100942;99050
100943;9905
100944;99049
100945;99048
100946;99047
100947;99046
100948;99045
100949;99044
10095;99043
100950;99042
100951;99041
100952;99040
100953;9904
100954;99039
100955;99038
100956;99037
100957;99036
100958;99035
100959;99034
10096;99033
100960;99032
100961;99031
100962;99030
100963;9903
100964;99029
100965;99028
100966;99027
100967;99026
100968;99025
100969;99024
10097;99023
100970;99022
100971;99021
100972;99020
100973;9902
100974;99019
100975;99018
100976;99017
100977;99016
100978;99015
100979;99014
10098;99013
100980;99012
100981;99011
100982;99010
100983;9901
100984;99009
100985;99008
100986;99007
100987;99006
100988;99005
100989;99004
10099;99003
100990;99002
100991;99001
100992;99000
100993;9900
100994;990
100995;99
100996;98999
100997;98998
100998;98997
100999;98996
101;98995
1010;98994
10100;98993
101000;98992
101001;98991
101002;98990
101003;9899
101004;98989
101005;98988
101006;98987
101007;98986
101008;98985
101009;98984
10101;98983
101010;98982
101011;98981
101012;98980
101013;9898
101014;98979
101015;98978
101016;98977
101017;98976
101018;98975
101019;98974
10102;98973
101020;98972
101021;98971
101022;98970
101023;9897
101024;98969
101025;98968
101026;98967
101027;98966
101028;98965
101029;98964
10103;98963
101030;98962
101031;98961
101032;98960
101033;9896
101034;98959
101035;98958
101036;98957
101037;98956
101038;98955
101039;98954
10104;98953
101040;98952
101041;98951
101042;98950
101043;9895
101044;98949
101045;98948
101046;98947
101047;98946
101048;98945
101049;98944
10105;98943
101050;98942
101051;98941
101052;98940
101053;9894
101054;98939
101055;98938
101056;98937
101057;98936
101058;98935
101059;98934
10106;98933
101060;98932
101061;98931
101062;98930
101063;9893
101064;98929
101065;98928
101066;98927
101067;98926
101068;98925
101069;98924
10107;98923
101070;98922
101071;98921
101072;98920
101073;9892
101074;98919
101075;98918
101076;98917
101077;98916
101078;98915
101079;98914
10108;98913
101080;98912
101081;98911
101082;98910
101083;9891
101084;98909
101085;98908
101086;98907
101087;98906
101088;98905
101089;98904
10109;98903
101090;98902
101091;98901
101092;98900
101093;9890
101094;989
101095;98899
101096;98898
101097;98897
101098;98896
101099;98895
1011;98894
10110;98893
101100;98892
101101;98891
101102;98890
101103;9889
101104;98889
101105;98888
101106;98887
101107;98886
101108;98885
101109;98884
10111;98883
101110;98882
101111;98881
101112;98880
101113;9888
101114;98879
101115;98878
101116;98877
101117;98876
101118;98875
101119;98874
10112;98873
101120;98872
101121;98871
101122;98870
101123;9887
101124;98869
101125;98868
101126;98867
101127;98866
101128;98865
101129;98864
10113;98863
101130;98862
101131;98861
101132;98860
101133;9886
101134;98859
101135;98858
101136;98857
101137;98856
101138;98855
101139;98854
10114;98853
101140;98852
101141;98851
101142;98850
101143;9885
101144;98849
101145;98848
101146;98847
101147;98846
101148;98845
101149;98844
10115;98843
101150;98842
101151;98841
101152;98840
101153;9884
101154;98839
101155;98838
101156;98837
101157;98836
101158;98835
101159;98834
10116;98833
101160;98832
101161;98831
101162;98830
101163;9883
101164;98829
101165;98828
101166;98827
101167;98826
101168;98825
101169;98824
10117;98823
101170;98822
101171;98821
101172;98820
101173;9882
101174;98819
101175;98818
101176;98817
101177;98816
101178;98815
101179;98814
10118;98813
101180;98812
101181;98811
101182;98810
101183;9881
101184;98809
101185;98808
101186;98807
101187;98806
101188;98805
101189;98804
10119;98803
101190;98802
101191;98801
101192;98800
101193;9880
101194;988
101195;98799
101196;98798
101197;98797
101198;98796
101199;98795
1012;98794
10120;98793
101200;98792
101201;98791
101202;98790
101203;9879
101204;98789
101205;98788
101206;98787
101207;98786
101208;98785
101209;98784
10121;98783
101210;98782
101211;98781
101212;98780
101213;9878
101214;98779
101215;98778
101216;98777
101217;98776
101218;98775
101219;98774
10122;98773
101220;98772
101221;98771
101222;98770
101223;9877
101224;98769
101225;98768
101226;98767
101227;98766
101228;98765
101229;98764
10123;98763
101230;98762
101231;98761
101232;98760
101233;9876
101234;98759
101235;98758
101236;98757
101237;98756
101238;98755
101239;98754
10124;98753
101240;98752
101241;98751
101242;98750
101243;9875
101244;98749
101245;98748
101246;98747
101247;98746
101248;98745
101249;98744
10125;98743
101250;98742
101251;98741
101252;98740
101253;9874
101254;98739
101255;98738
101256;98737
101257;98736
101258;98735
101259;98734
10126;98733
101260;98732
101261;98731
101262;98730
101263;9873
101264;98729
101265;98728
101266;98727
101267;98726
101268;98725
101269;98724
10127;98723
101270;98722
101271;98721
101272;98720
101273;9872
101274;98719
101275;98718
101276;98717
101277;98716
101278;98715
101279;98714
10128;98713
101280;98712
101281;98711
101282;98710
101283;9871
101284;98709
101285;98708
101286;98707
101287;98706
101288;98705
101289;98704
10129;98703
101290;98702
101291;98701
101292;98700
101293;9870
101294;987
101295;98699
101296;98698
101297;98697
101298;98696
101299;98695
1013;98694
10130;98693
101300;98692
101301;98691
101302;98690
101303;9869
101304;98689
101305;98688
101306;98687
101307;98686
101308;98685
101309;98684
10131;98683
101310;98682
101311;98681
101312;98680
101313;9868
101314;98679
101315;98678
101316;98677
101317;98676
101318;98675
101319;98674
10132;98673
101320;98672
101321;98671
101322;98670
101323;9867
101324;98669
101325;98668
101326;98667
101327;98666
101328;98665
101329;98664
10133;98663
101330;98662
101331;98661
101332;98660
101333;9866
101334;98659
101335;98658
101336;98657
101337;98656
101338;98655
101339;98654
10134;98653
101340;98652
101341;98651
101342;98650
101343;9865
101344;98649
101345;98648
101346;98647
101347;98646
101348;98645
101349;98644
10135;98643
101350;98642
101351;98641
101352;98640
101353;9864
101354;98639
101355;98638
101356;98637
101357;98636
101358;98635
101359;98634
10136;98633
101360;98632
101361;98631
101362;98630
101363;9863
101364;98629
101366;98628
101367;98627
101368;98626
101369;98625
10137;98624
101370;98623
101371;98622
101372;98621
101373;98620
101374;9862
101375;98619
101376;98618
101377;98617
101378;98616
101379;98615
10138;98614
101380;98613
101381;98612
101382;98611
101383;98610
101384;9861
101385;98609
101386;98608
101387;98607
101388;98606
101389;98605
10139;98604
101390;98603
101391;98602
101392;98601
101393;98600
101394;9860
101395;986
101396;98599
101397;98598
101398;98597
101399;98596
1014;98595
10140;98594
101400;98593
101401;98592
101402;98591
101403;98590
101404;9859
101405;98589
101406;98588
101407;98587
101408;98586
101409;98585
10141;98584
101410;98583
101411;98582
101412;98581
101413;98580
101414;9858
101415;98579
101416;98578
101417;98577
101418;98576
101419;98575
10142;98574
101420;98573
101421;98572
101422;98571
101423;98570
101424;9857
101425;98569
101426;98568
101427;98567
101428;98566
101429;98565
10143;98564
101430;98563
101431;98562
101432;98561
101433;98560
101434;9856
101435;98559
101436;98558
101437;98557
101438;98556
101439;98555
10144;98554
101440;98553
101441;98552
101442;98551
101443;98550
101444;9855
101445;98549
101446;98548
101447;98547
101448;98546
101449;98545
10145;98544
101450;98543
101451;98542
101452;98541
101453;98540
101454;9854
101455;98539
101456;98538
101457;98537
101458;98536
101459;98535
10146;98534
101460;98533
101461;98532
101462;98531
101463;98530
101464;9853
101465;98529
101466;98528
101467;98527
101468;98526
101469;98525
10147;98524
101470;98523
101471;98522
101472;98521
101473;98520
101474;9852
101475;98519
101476;98518
101477;98517
101478;98516
101479;98515
10148;98514
101480;98513
101481;98512
101482;98511
101483;98510
101484;9851
101485;98509
101486;98508
101487;98507
101488;98506
101489;98505
10149;98504
101490;98503
101491;98502
101492;98501
101493;98500
101494;9850
101495;985
101496;98499
101497;98498
101498;98497
101499;98496
1015;98495
10150;98494
101500;98493
101501;98492
101502;98491
101503;98490
101504;9849
101505;98489
101506;98488
101507;98487
101508;98486
101509;98485
10151;98484
101510;98483
101511;98482
101512;98481
101513;98480
101514;9848
101515;98479
101516;98478
101517;98477
101518;98476
101519;98475
10152;98474
101520;98473
101521;98472
101522;98471
101523;98470
101524;9847
101525;98469
101526;98468
101527;98467
101528;98466
101529;98465
10153;98464
101530;98463
101531;98462
101532;98461
101533;98460
101534;9846
101535;98459
101536;98458
101537;98457
101538;98456
101539;98455
10154;98454
101540;98453
101541;98452
101542;98451
101543;98450
101544;9845
101545;98449
101546;98448
101547;98447
101548;98446
101549;98445
10155;98444
101550;98443
101551;98442
101552;98441
101553;98440
101554;9844
101555;98439
101556;98438
101557;98437
101558;98436
101559;98435
10156;98434
101560;98433
101561;98432
101562;98431
101563;98430
101564;9843
101565;98429
101566;98428
101567;98427
101568;98426
101569;98425
10157;98424
101570;98423
101571;98422
101572;98421
101573;98420
101574;9842
101575;98419
101576;98418
101577;98416
101578;98415
101579;98414
10158;98413
101580;98412
101581;98411
101582;98410
101583;9841
101584;98409
101585;98408
101586;98407
101587;98406
101588;98405
101589;98404
10159;98403
101590;98402
101591;98401
101592;98400
101593;9840
101594;984
101595;98399
101596;98398
101597;98397
101598;98396
101599;98395
1016;98394
10160;98393
101600;98392
101601;98391
101602;98390
101603;9839
101604;98389
101605;98388
101606;98387
101607;98386
101608;98385
101609;98384
10161;98383
101610;98382
101611;98381
101612;98380
101613;9838
101614;98379
101615;98378
101616;98377
101617;98376
101618;98375
101619;98374
10162;98373
101620;98372
101621;98371
101622;98370
101623;9837
101624;98369
101625;98368
101626;98367
101627;98366
101628;98365
101629;98364
10163;98363
101630;98362
101631;98361
101632;98360
101633;9836
101634;98359
101635;98358
101636;98357
101637;98356
101638;98355
101639;98354
10164;98353
101640;98352
101641;98351
101642;98350
101643;9835
101644;98349
101645;98348
101646;98347
101647;98346
101648;98345
101649;98344
10165;98343
101650;98342
101651;98341
101652;98340
101653;9834
101654;98339
101655;98338
101656;98337
101657;98336
101658;98335
101659;98334
10166;98333
101660;98332
101661;98331
101662;98330
101663;9833
101664;98329
101665;98328
101666;98327
101667;98326
101668;98325
101669;98324
10167;98323
101670;98322
101671;98321
101672;98320
101673;9832
101674;98319
101675;98318
101676;98317
101677;98316
101678;98315
101679;98314
10168;98313
101680;98312
101681;98311
101682;98310
101683;9831
101684;98309
101685;98308
101686;98307
101687;98306
101688;98305
101689;98304
10169;98303
101690;98302
101691;98301
101692;98300
101693;9830
101694;983
101695;98299
101696;98298
101697;98297
101698;98296
101699;98295
1017;98294
10170;98293
101700;98292
101701;98291
101702;98290
101703;9829
101704;98289
101705;98288
101706;98287
101707;98286
101708;98285
101709;98284
10171;98283
101710;98282
101711;98281
101712;98280
101713;9828
101714;98279
101715;98278
101716;98277
101717;98276
101718;98275
101719;98274
10172;98273
101720;98272
101721;98271
101722;98270
101723;9827
101724;98269
101725;98268
101726;98267
101727;98266
101728;98265
101729;98264
10173;98263
101730;98262
101731;98261
101732;98260
101733;9826
101734;98259
101735;98258
101736;98257
101737;98256
101738;98255
101739;98254
10174;98253
101740;98252
101741;98251
101742;98250
101743;9825
101744;98249
101745;98248
101746;98247
101747;98246
101748;98245
101749;98244
10175;98243
101750;98242
101751;98241
101752;98240
101753;9824
101754;98239
101755;98238
101756;98237
101757;98236
101758;98235
101759;98234
10176;98233
101760;98232
101761;98231
101762;98230
101763;9823
101764;98229
101765;98228
101766;98227
101767;98226
101768;98225
101769;98224
10177;98223
101770;98222
101771;98221
101772;98220
101773;9822
101774;98219
101775;98218
101777;98217
101778;98216
101779;98215
10178;98214
101780;98213
101781;98212
101782;98211
101783;98210
101784;9821
101785;98209
101786;98208
101787;98207
101788;98206
101789;98205
10179;98204
101790;98203
101791;98202
101792;98201
101793;98200
101794;9820
101795;982
101796;98199
101797;98198
101798;98197
101799;98196
1018;98195
10180;98194
101800;98193
101801;98192
101802;98191
101803;98190
101804;9819
101805;98189
101806;98188
101807;98187
101808;98186
101809;98185
10181;98184
101810;98183
101811;98182
101812;98181
101813;98180
101814;9818
101815;98179
101816;98178
101817;98177
101818;98176
101819;98175
10182;98174
101820;98173
101821;98172
101822;98171
101823;98170
101824;9817
101825;98169
101826;98168
101827;98167
101828;98166
101829;98165
10183;98164
101830;98163
101831;98162
101832;98161
101833;98160
101834;9816
101835;98159
101836;98158
101837;98157
101838;98156
101839;98155
10184;98154
101840;98153
101841;98152
101842;98151
101843;98150
101844;9815
101845;98149
101846;98148
101847;98147
101848;98146
101849;98145
10185;98144
101850;98143
101851;98142
101852;98141
101853;98140
101854;9814
101855;98139
101856;98138
101857;98137
101858;98136
101859;98135
10186;98134
101860;98133
101861;98132
101862;98131
101863;98130
101864;9813
101865;98129
101866;98128
101867;98127
101868;98126
101869;98125
10187;98124
101870;98123
101871;98122
101872;98121
101873;98120
101874;9812
101875;98119
101876;98118
101877;98117
101878;98116
101879;98115
10188;98114
101880;98113
101881;98112
101882;98111
101883;98110
101884;9811
101885;98109
101886;98108
101887;98107
101888;98106
101889;98105
10189;98104
101890;98103
101891;98102
101892;98101
101893;98100
101894;9810
101895;981
101896;98099
101897;98098
101898;98097
101899;98096
1019;98095
10190;98094
101900;98093
101901;98092
101902;98091
101903;98090
101904;9809
101905;98089
101906;98088
101907;98087
101908;98086
101909;98085
10191;98084
101910;98083
101911;98082
101912;98081
101913;98080
101914;9808
101915;98079
101916;98078
101917;98077
101918;98076
101919;98075
10192;98074
101920;98073
101921;98072
101922;98071
101923;98070
101924;9807
101925;98069
101926;98068
101927;98067
101928;98066
101929;98065
10193;98064
101930;98063
101931;98062
101932;98061
101933;98060
101934;9806
101935;98059
101936;98058
101937;98057
101938;98056
101939;98055
10194;98054
101940;98053
101941;98052
101942;98051
101943;98050
101944;9805
101945;98049
101946;98048
101947;98047
101948;98046
101949;98045
10195;98044
101950;98043
101951;98042
101952;98041
101953;98040
101954;9804
101955;98039
101956;98038
101957;98037
101958;98036
101959;98035
10196;98034
101960;98033
101961;98032
101962;98031
101963;98030
101964;9803
101965;98029
101966;98028
101967;98027
101968;98026
101969;98025
10197;98024
101970;98023
101971;98022
101972;98021
101973;98020
101974;9802
101975;98019
101976;98018
101977;98017
101978;98016
101979;98015
10198;98014
101980;98013
101981;98012
101982;98011
101983;98010
101984;9801
101985;98009
101986;98008
101987;98007
101988;98006
101989;98005
10199;98004
101990;98003
101991;98002
101992;98001
101993;98000
101994;9800
101995;980
101996;98
101997;97999
101998;97998
101999;97997
102;97996
1020;97995
10200;97994
102000;97993
102001;97992
102002;97991
102003;97990
102004;9799
102005;97989
102006;97988
102007;97987
102008;97986
102009;97985
10201;97984
102010;97983
102011;97982
102012;97981
102013;97980
102014;9798
102015;97979
102016;97978
102017;97977
102018;97976
102019;97975
10202;97974
102020;97973
102021;97972
102022;97971
102023;97970
102024;9797
102025;97969
102026;97968
102027;97967
102028;97966
102029;97965
10203;97964
102030;97963
102031;97962
102032;97961
102033;97960
102034;9796
102035;97959
102036;97958
102037;97957
102038;97956
102039;97955
10204;97954
102040;97953
102041;97952
102042;97951
102043;97950
102044;9795
102045;97949
102046;97948
102047;97947
102048;97946
102049;97945
10205;97944
102050;97943
102051;97942
102052;97941
102053;97940
102054;9794
102055;97939
102056;97938
102057;97937
102058;97936
102059;97935
10206;97934
102060;97933
102061;97932
102062;97931
102063;97930
102064;9793
102065;97929
102066;97928
102067;97927
102068;97926
102069;97925
10207;97924
102070;97923
102071;97922
102072;97921
102073;97920
102074;9792
102075;97919
102076;97918
102077;97917
102078;97916
102079;97915
10208;97914
102080;97913
102081;97912
102082;97911
102083;97910
102084;9791
102085;97909
102086;97908
102087;97907
102088;97906
102089;97905
10209;97904
102090;97903
102091;97902
102092;97901
102093;97900
102094;9790
102095;979
102096;97899
102097;97898
102098;97897
102099;97896
1021;97895
10210;97894
